soru,cevap
multimetre nedir,"**Multimetre**, voltaj, akım ve direnç ölçebilen **çok amaçlı** ölçü cihazıdır."
enerji nedir,"**Enerji**, **iş yapabilme** kapasitesidir ve birimi Joule’dür (J)."
bobin nedir,"**Bobin**, **endüktans** oluşturan sarılmış iletken elemandır."
trafonun görevi nedir,"**Trafo**, ***voltajı artırmak veya azaltmak** için kullanılan elektromanyetik cihazdır. Sitede trafo hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
kapasitans nedir,"**Kapasitans**, bir kondansatörün **yük depolama** yeteneğidir."
empedans nedir,"**Empedans**, AC devrelerde **toplam direnç ve reaktansın birleşimidir.**"
faz farkı nedir,"**Faz farkı**, iki sinyal arasındaki **zaman veya açı farkıdır.**"
aktif güç nedir,"**Aktif güç**, **gerçek iş** yapan güçtür ve birimi Watt'tır (W). Sitede güç hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
reaktif güç nedir,"**Reaktif güç**, devrede **manyetik** ve elektrik alanlarda depolanan güçtür. Birimi VAR'dır. Sitede güç hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
güç faktörü nedir,"**Güç faktörü**, **aktif gücün görünür güce** oranıdır. Sitede güç hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
eşdeğer direnç nedir,"**Eşdeğer direnç**, birden fazla direncin **tek bir direnç ile** aynı etkiyi göstermesidir. Sitede eşdeğer direnç hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
eşdeğer endüktans nedir,"**Eşdeğer endüktans**, birden fazla indüktörün **tek bir indüktörle** aynı etkiyi göstermesidir. Sitede eşdeğer endüktans hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
eşdeğer kapasitans nedir,"**Eşdeğer kapasitans**, birden fazla kondansatörün **tek bir kondansatörle** aynı etkiyi göstermesidir. Sitede eşdeğer kondansatör hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
topraklama önemi nedir,"**Topraklama önemi**, elektriksel **güvenlik** ve cihaz koruması içindir."
sigorta nedir,"**Sigorta**, **aşırı akımı** önleyen koruma elemanıdır."
devre kesici nedir,"**Devre kesici**, devreyi **aşırı akımdan koruyan** otomatik cihazdır."
voltaj düşümü nedir,"**Voltaj düşümü**, bir iletken boyunca **oluşan gerilim** kaybıdır."
yük nedir,"**Yük**, bir devreye **bağlanan cihaz veya elemandır.**"
kaynak nedir,"**Kaynak**, **elektrik enerjisi sağlayan** cihazdır."
kondansatör nedir,"**Kondansatör**, enerji **depolayan** devre elemanıdır."
indüktans ölçümü nasıl yapılır,"**İndüktans ölçümü**, LCR metre veya **multimetre** ile yapılır."
rezistans ölçümü nasıl yapılır,"**Rezistans ölçümü**, **ohmmetre** ile yapılır."
paralel devre özellikleri nelerdir,"**Paralel devre özellikleri**, **gerilim sabittir** ve akımlar toplanır. Sitede bağlantı türüne göre akım gerilim sonuçları hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz! "
seri devre özellikleri nelerdir,"**Seri devre özellikleri**, **akım sabittir** ve gerilimler toplanır. Sitede bağlantı türüne göre akım gerilim sonuçları hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
kapasitör şarjı nasıl olur,"**Kapasitör şarjı**, devreye **gerilim uygulandığında** gerçekleşir."
indüktör şarjı nasıl olur,"**İndüktör şarjı**, **manyetik alan** oluşmasıyla gerçekleşir."
transistör tipi nedir,"**Transistör tipi**, **NPN** veya **PNP** olabilir."
pn diyot nedir,"**PN diyot**, **P** ve **N** yarı iletkenlerin birleşmesiyle oluşur. Sitede diyotlar hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
led nedir,"**LED**, ışık yayan diyottur."
fotosel nedir,"**Fotosel**, **ışığa duyarlı** sensördür."
potansiyometre nedir,"**Potansiyometre**, ayarlanabilir dirençtir."
röle nedir,"**Röle**, elektrik sinyaliyle mekanik devreyi kontrol eden cihazdır."
transformer nedir,"**Transformer**, voltaj dönüştüren cihazdır."
elektrik motoru nedir,"**Elektrik motoru**, elektrik enerjisini mekanik enerjiye çevirir."
generatör nedir,"Generatör, mekanik enerjiyi elektrik enerjisine çevirir."
alternatör nedir,"Alternatör, AC üreten makinedir."
topraklama türleri nelerdir,"Topraklama türleri, eş potansiyel ve güvenlik topraklamasıdır."
faz nedir,"Faz, AC devrede akım veya gerilim dalgasının bir bileşenidir."
nötr nedir,"Nötr, devrede referans noktasıdır."
aktif nedir,"Aktif, gerçek iş yapan güç bileşenidir."
reaktif nedir,"Reaktif, enerji depolayan güç bileşenidir."
empedans ölçümü nasıl yapılır,"Empedans ölçümü, LCR metre veya hesaplama ile yapılır."
kapasitör bağlama şekilleri nelerdir,Kapasitör bağlama şekilleri: seri ve paralel.
endüktör bağlama şekilleri nelerdir,Endüktör bağlama şekilleri: seri ve paralel.
devre analizi nasıl yapılır,"Devre analizi, akım ve gerilimlerin hesaplanmasıdır."
kirchoff kanunları nelerdir,"Kirchoff kanunları, akım ve gerilim yasalarıdır."
voltaj kaynağı nedir,"Voltaj kaynağı, sabit gerilim sağlayan cihazdır."
akım kaynağı nedir,"Akım kaynağı, sabit akım sağlayan cihazdır."
ohmmetre nedir,"Ohmmetre, direnç ölçmek için kullanılan cihazdır."
osiloskop nedir,"Osiloskop, AC veya DC sinyallerin zaman grafiğini gösterir."
multimetre kullanımı nasıl olur,"Multimetre kullanımı, voltaj, akım ve direnç ölçmek için yapılır."
akım yönü nasıl belirlenir,"Akım yönü, pozitif yük akışı ile belirlenir."
gerilim yönü nasıl belirlenir,"Gerilim yönü, referans noktaya göre belirlenir."
seri paralel karışık devre nedir,"Seri-paralel karışık devre, hem seri hem paralel eleman içerir. Sitede karmaşık topolojileriniz için işlemler hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
fazör diyagramı nedir,"Fazör diyagramı, sinyallerin büyüklük ve fazlarını gösterir."
rezonans nedir,"Rezonans, devrenin doğal frekansında maksimum akım veya gerilim oluşturmasıdır."
rezonans frekansı nedir,"Rezonans frekansı, devrenin doğal titreşim frekansıdır."
gerilim bölücü nedir,"Gerilim bölücü, gerilimi istenen oranda bölen devredir. Sitede gerilim bölücü hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
akım bölücü nedir,"Akım bölücü, akımı istenen oranda bölen devredir. Sitede akım bölücü hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
yük dengelemesi nedir,"Yük dengelemesi, fazlar arasında akımın dengelenmesidir."
faz değişimi nedir,"Faz değişimi, sinyalin zaman veya açı kaymasıdır."
kaynak empedansı nedir,"Kaynak empedansı, kaynağın iç direncidir."
ara direnç nedir,"Ara direnç, devrede eklenen dirençtir."
topraklama hatası nedir,"Topraklama hatası, yanlış bağlantı sonucu oluşur."
şebeke nedir,"Şebeke, elektrik dağıtım sistemi anlamına gelir."
enerji kaynağı nedir,"Enerji kaynağı, elektrik üretim ve iletim cihazıdır."
elektriksel güvenlik nedir,"Elektriksel güvenlik, cihaz ve insan korumasıdır."
isolasyon nedir,"İzolasyon, devre elemanlarını birbirinden ayırmaktır."
sigorta seçimi nasıl yapılır,"Sigorta seçimi, akım değerine göre yapılır."
devre elemanı nedir,"Devre elemanı, devreyi oluşturan temel parçadır."
elektriksel direnç ölçümü nedir,"Elektriksel direnç ölçümü, ohmmetre ile yapılır."
akım ölçümü nedir,"Akım ölçümü, ampermetre ile yapılır."
voltaj ölçümü nedir,"Voltaj ölçümü, voltmetre ile yapılır."
reaktif güç ölçümü nedir,"Reaktif güç ölçümü, VAR metre ile yapılır."
aktif güç ölçümü nedir,"Aktif güç ölçümü, Watt metre ile yapılır."
güç ölçümü nasıl yapılır,"Güç ölçümü, P, Q ve S hesaplamaları ile yapılır. Sitede güç hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
faz akımı nedir,"Faz akımı, AC devrede akımın bir faz bileşenidir."
faz gerilimi nedir,"Faz gerilimi, AC devrede gerilimin bir faz bileşenidir."
üç fazlı sistem nedir,"Üç fazlı sistem, üç ayrı AC fazı içeren sistemdir."
monofaz nedir,"Monofaz, tek fazlı AC sistemdir."
tristör nedir,"Tristör, tetikleme ile iletime geçen yarı iletken elemandır."
triak nedir,"Triak, AC devrelerde yön değiştiren tristördür."
kontrol rölesi nedir,"Kontrol rölesi, devreyi otomatik açıp kapayan cihazdır."
termistör nedir,"Termistör, sıcaklığa duyarlı dirençtir."
fototransistör nedir,"Fototransistör, ışığa duyarlı transistördür."
sensör nedir,"Sensör, çevresel veriyi algılayan cihazdır."
anahtar nedir,"Anahtar, devreyi açıp kapamaya yarayan elemandır."
dijital multimetre nedir,"Dijital multimetre, sayısal ölçüm yapan cihazdır."
analog multimetre nedir,"Analog multimetre, kadranlı ölçüm cihazıdır."
osiloskop nedir,"Osiloskop, dalga şekillerini görselleştiren cihazdır."
gerçek güç nedir,"**Gerçek güç**, bir elektrik devresinde gerilimin akımla aynı fazdaki bileşeninin yaptığı ve ısı, ışık veya mekanik iş olarak **fiilen harcanan güçtür.**"
görünür güç nedir,"**Görünür güç**, AC bir devrede gerilim ile akımın etkin (RMS) değerlerinin çarpımıyla tanımlanan ve kaynaktan çekilen **toplam güç kapasitesini** ifade eden büyüklüktür."
ortalama güç nedir,"**Ortalama güç**, zamana bağlı olarak değişen anlık gücün bir periyot boyunca ortalaması alınarak elde edilen ve devrede **net enerji aktarımını** gösteren güçtür."
rms nedir,"**RMS (Root Mean Square)**, zamana bağlı bir büyüklüğün aynı ısıl etkiyi yapan **eşdeğer DC değerini** ifade eden etkin değeridir."
modülasyon nedir,"**Modülasyon**, bir bilgi sinyalini iletebilmek için taşıyıcı bir sinyalin genlik, frekans veya fazının bilgiye göre değiştirilmesi işlemidir."
doğrultucu nedir,"**Doğrultucu**, alternatif akımı (AC) tek yönlü akıma (DC) çeviren elektronik devredir. Sitede doğrultucu devreler hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
mantık devreleri nedir,"**Mantık devreleri**, dijital sistemlerde 0 ve 1 seviyelerini kullanarak mantıksal işlemler yapan ve karar verme işlevini gerçekleştiren elektronik devrelerdir."
mosfet nedir,"**MOSFET**, kapısına (gate) uygulanan gerilimle akım akışını kontrol eden, yüksek giriş empedanslı bir yarı iletken anahtarlama ve yükseltme elemanıdır."
bjt nedir,"**BJT (Bipolar Jonksiyon Transistör)**, küçük bir taban akımıyla kollektör–emiter arasındaki büyük akımı kontrol eden, akım kontrollü bir yarı iletken elemandır."
zener diyot nedir,"**Zener diyot**, ters yönde belirli bir gerilimde iletime geçerek devrede **gerilim regülasyonu ve referansı** sağlayan özel bir diyottur."
jonksiyon nedir,"**Jonksiyon**, yarı iletkenlerde p ve n tipi bölgelerin birleştiği, akımın davranışını belirleyen geçiş bölgesidir."
